9.81,Norway
9.37,Iceland
9.26,Sweden
9.25,New Zealand
9.24,Canada
9.20,Finland
9.15,Denmark
9.05,Ireland
8.96,Australia
8.96,Netherlands
8.94,Taiwan
8.83,Switzerland
8.68,Luxembourg
8.67,Germany
8.61,Uruguay
8.54,United Kingdom
8.28,Chile
8.16,Austria
8.16,Costa Rica
8.14,Mauritius
8.13,Japan
8.12,Spain
8.01,South Korea
7.99,France
7.92,United States
7.90,Portugal
7.84,Estonia
7.84,Israel
7.74,Italy
7.68,Malta
7.67,Czech Republic
7.65,Cabo Verde
7.62,Botswana
7.56,Cyprus
7.54,Slovenia
7.51,Belgium
7.39,Greece
7.24,Latvia
7.19,Malaysia
7.18,Panama
7.16,Trinidad and Tobago
7.13,Jamaica
7.13,Lithuania
7.06,Timor-Leste
7.05,South Africa
7.04,Colombia
6.97,Slovakia
6.95,Argentina
6.92,Brazil
6.85,Poland
6.82,Suriname
6.71,Bulgaria
6.61,India
6.59,Tunisia
6.56,Hungary
6.56,Philippines
6.53,Peru
6.52,Namibia
6.50,Croatia
6.50,Ghana
6.48,Mongolia
6.40,Romania
6.32,Dominican Republic
6.30,Indonesia
6.30,Lesotho
6.22,Serbia
6.18,Paraguay
6.14,Sri Lanka
6.13,Ecuador
6.10,Papua New Guinea
6.08,Albania
6.07,Mexico
6.04,Thailand
6.03,Singapore
6.01,Guyana
5.99,Bangladesh
5.90,El Salvador
5.89,North Macedonia
5.81,Ukraine
5.78,Moldova
5.77,Montenegro
5.74,Malawi
5.72,Fiji
5.71,Bhutan
5.70,Madagascar
5.67,Senegal
5.57,Hong Kong
5.36,Honduras
5.35,Armenia
5.32,Liberia
5.31,Georgia
5.22,Nepal
5.10,Tanzania
5.08,Bolivia
5.05,Kenya
5.04,Morocco
4.97,Guatemala
4.94,Uganda
4.86,Sierra Leone
4.86,Zambia
4.84,Bosnia and Herzegovina
4.58,Benin
4.49,Gambia
4.48,Turkey
4.31,Pakistan
4.22,Haiti
4.21,Kyrgyzstan
4.16,Lebanon
4.11,Cote d'Ivoire
4.10,Nigeria
3.93,Mali
3.92,Mauritania
3.83,Palestine
3.80,Kuwait
3.77,Algeria
3.73,Burkina Faso
3.66,Angola
3.62,Iraq
3.62,Jordan
3.60,Nicaragua
3.54,Gabon
3.51,Mozambique
3.38,Ethiopia
3.31,Russian Federation
3.29,Niger
3.24,Qatar
3.16,Zimbabwe
3.14,Kazakhstan
3.11,Congo
3.10,Cambodia
3.10,Rwanda
3.09,Comoros
3.08,Guinea
3.04,Myanmar
3.00,Oman
2.94,Viet Nam
2.93,Egypt
2.85,Afghanistan
2.84,Cuba
2.80,Togo
2.77,Cameroon
2.71,Djibouti
2.70,United Arab Emirates
2.68,Azerbaijan
2.63,Guinea-Bissau
2.59,Belarus
2.54,Sudan
2.49,Bahrain
2.27,China
2.20,Iran
2.15,Eritrea
2.14,Burundi
2.12,Uzbekistan
2.08,Saudi Arabia
1.95,Libya
1.95,Yemen
1.94,Tajikistan
1.92,Equatorial Guinea
1.77,Lao PDR
1.72,Turkmenistan
1.55,Chad
1.43,Syrian Arab Republic
1.32,Central African Republic
1.13,DR Congo
