4
"Afghanistan, Islamic Rep. of"
3
2
"Africa"
"Advanced Economies"
5
"American Samoa"
"Anguilla"
"Bahrain, Kingdom of"
14
15
10
"Bahamas, The"
"Belarus, Rep. of"
"Azerbaijan, Rep. of"
9
"Aruba, Kingdom of the Netherlands"
"Armenia, Rep. of"
20
17
"Belgium-Luxembourg"
18
19
25
22
23
24
21
28
35
"Central African Rep."
31
33
32
29
26
27
30
"Congo, Dem. Rep. of the"
41
"China, P.R.: Mainland"
"CIS"
"China, P.R.: Hong Kong"
38
"Comoros, Union of the"
"Congo, Rep. of"
36
"China, P.R.: Macao"
49
"Czech Rep."
45
44
48
"Croatia, Rep. of"
"Côte d'Ivoire"
"Czechoslovakia"
47
"Curaçao, Kingdom of the Netherlands"
"Emerging and Developing Economies"
"Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel"
54
"Emerging and Developing Asia"
"Emerging and Developing Europe"
"Emerging Market and Developing Economies by Source of Export Earnings: Fuel"
"Egypt, Arab Rep. of"
"Dominican Rep."
52
"Eastern Germany"
"Estonia, Rep. of"
"Fiji, Rep. of"
"European Union"
"Faroe Islands"
"Equatorial Guinea, Rep. of"
"Ethiopia, The Federal Dem. Rep. of"
"Euro Area"
"Eritrea, The State of"
"Falkland Islands (Malvinas)"
"Eswatini, Kingdom of"
66
60
65
"Gambia, The"
62
64
67
61
"Gibraltar"
"French Polynesia"
"Greenland"
72
74
73
69
70
71
68
"Guam"
"Holy See"
83
84
77
78
79
81
76
82
"Iran, Islamic Rep. of"
85
86
"Kazakhstan, Rep. of"
"Korea, Rep. of"
"Korea, Dem. People's Rep. of"
92
87
"Kyrgyz Rep."
89
90
"Kosovo, Rep. of"
95
96
98
99
104
101
"Madagascar, Rep. of"
"Lao People's Dem. Rep."
100
"Lesotho, Kingdom of"
"Mauritania, Islamic Rep. of"
112
"Middle East"
105
107
108
111
106
"Micronesia, Federated States of"
"Marshall Islands, Rep. of the"
"Moldova, Rep. of"
"Mozambique, Rep. of"
117
115
119
116
"Montserrat"
120
"Nauru, Rep. of"
"Middle East and Central Asia"
"North Macedonia, Republic of"
125
"New Caledonia"
129
124
127
"Netherlands, The"
122
126
"Netherlands Antilles"
"Philippines"
134
130
136
131
135
"Other Countries not included elsewhere"
"Poland, Rep. of"
137
"Palau, Rep. of"
144
142
151
141
148
"São Tomé and Príncipe, Dem. Rep. of"
152
143
140
"San Marino, Rep. of"
160
"Slovak Rep."
159
"Serbia and Montenegro"
"Serbia, Rep. of"
154
156
"Slovenia, Rep. of"
155
"Sint Maarten, Kingdom of the Netherlands"
164
"St. Vincent and the Grenadines"
163
165
"St. Lucia"
"St. Kitts and Nevis"
161
"Sub-Saharan Africa"
"South African Common Customs Area (SACCA)"
"South Sudan, Rep. of"
173
175
168
"Syrian Arab Rep."
166
167
176
"Tanzania, United Rep. of"
"Tajikistan, Rep. of"
"Timor-Leste, Dem. Rep. of"
186
185
182
179
184
178
183
177
180
181
"World"
187
"Western Hemisphere"
"Venezuela, Rep. Bolivariana de"
"Uzbekistan, Rep. of"
"Vietnam"
"Yemen Arab Rep."
189
"USSR"
"West Bank and Gaza"
193
"Yugoslavia"
192
"Yemen, Rep. of"
"Yemen, People's Dem. Rep. of"
